hour,count
2016-01-11 17:00:00,197831
2016-01-11 18:00:00,198090
2016-01-11 19:00:00,166845
2016-01-11 20:00:00,125875
2016-01-11 21:00:00,112202
2016-01-11 22:00:00,91579
2016-01-11 23:00:00,64727
2016-01-12 00:00:00,41816
2016-01-12 01:00:00,27940
2016-01-12 02:00:00,18126
2016-01-12 03:00:00,11856
2016-01-12 04:00:00,9728
2016-01-12 05:00:00,11031
2016-01-12 06:00:00,16544
2016-01-12 07:00:00,70395
2016-01-12 08:00:00,268288
2016-01-12 09:00:00,302806
2016-01-12 10:00:00,265939
2016-01-12 11:00:00,238545
2016-01-12 12:00:00,214425
2016-01-12 13:00:00,209289
2016-01-12 14:00:00,233632
2016-01-12 15:00:00,239411
2016-01-12 16:00:00,254916
2016-01-12 17:00:00,269499
2016-01-12 18:00:00,278098
2016-01-12 19:00:00,224370
2016-01-12 20:00:00,168458
2016-01-12 21:00:00,155907
2016-01-12 22:00:00,128459
2016-01-12 23:00:00,86244
2016-01-13 00:00:00,51681
2016-01-13 01:00:00,34925
2016-01-13 02:00:00,22046
2016-01-13 03:00:00,13427
2016-01-13 04:00:00,10682
2016-01-13 05:00:00,12464
2016-01-13 06:00:00,18351
2016-01-13 07:00:00,88055
2016-01-13 08:00:00,299990
2016-01-13 09:00:00,315228
2016-01-13 10:00:00,281424
2016-01-13 11:00:00,246669
2016-01-13 12:00:00,223749
2016-01-13 13:00:00,217677
2016-01-13 14:00:00,238506
2016-01-13 15:00:00,237989
2016-01-13 16:00:00,262560
2016-01-13 17:00:00,287336
2016-01-13 18:00:00,285986
2016-01-13 19:00:00,233920
2016-01-13 20:00:00,176976
2016-01-13 21:00:00,162031
2016-01-13 22:00:00,133636
2016-01-13 23:00:00,90719
2016-01-14 00:00:00,53712
2016-01-14 01:00:00,34967
2016-01-14 02:00:00,22222
2016-01-14 03:00:00,13453
2016-01-14 04:00:00,10988
2016-01-14 05:00:00,11772
2016-01-14 06:00:00,17158
2016-01-14 07:00:00,83179
2016-01-14 08:00:00,307991
2016-01-14 09:00:00,333255
2016-01-14 10:00:00,275444
2016-01-14 11:00:00,215340
2016-01-14 12:00:00,190995
2016-01-14 13:00:00,193819
2016-01-14 14:00:00,241818
2016-01-14 15:00:00,252595
2016-01-14 16:00:00,281392
2016-01-14 17:00:00,305694
2016-01-14 18:00:00,308917
2016-01-14 19:00:00,249897
2016-01-14 20:00:00,192548
2016-01-14 21:00:00,172994
2016-01-14 22:00:00,145170
2016-01-14 23:00:00,96780
2016-01-15 00:00:00,56503
2016-01-15 01:00:00,36967
2016-01-15 02:00:00,22941
2016-01-15 03:00:00,14210
2016-01-15 04:00:00,11207
2016-01-15 05:00:00,12459
2016-01-15 06:00:00,18811
2016-01-15 07:00:00,84408
2016-01-15 08:00:00,314225
2016-01-15 09:00:00,329260
2016-01-15 10:00:00,281691
2016-01-15 11:00:00,248431
2016-01-15 12:00:00,226940
2016-01-15 13:00:00,224512
2016-01-15 14:00:00,254820
2016-01-15 15:00:00,269431
2016-01-15 16:00:00,289565
2016-01-15 17:00:00,309566
2016-01-15 18:00:00,310724
2016-01-15 19:00:00,253017
2016-01-15 20:00:00,200972
2016-01-15 21:00:00,185302
2016-01-15 22:00:00,159645
2016-01-15 23:00:00,113528
2016-01-16 00:00:00,71706
2016-01-16 01:00:00,48603
2016-01-16 02:00:00,31898
2016-01-16 03:00:00,19797
2016-01-16 04:00:00,14958
2016-01-16 05:00:00,13752
2016-01-16 06:00:00,18333
2016-01-16 07:00:00,43426
2016-01-16 08:00:00,143363
2016-01-16 09:00:00,215121
2016-01-16 10:00:00,238545
2016-01-16 11:00:00,254584
2016-01-16 12:00:00,237798
2016-01-16 13:00:00,254224
2016-01-16 14:00:00,272897
2016-01-16 15:00:00,277671
2016-01-16 16:00:00,282931
2016-01-16 17:00:00,288166
2016-01-16 18:00:00,263793
2016-01-16 19:00:00,196493
2016-01-16 20:00:00,168862
2016-01-16 21:00:00,167312
2016-01-16 22:00:00,139219
2016-01-16 23:00:00,81681
2016-01-17 00:00:00,54627
2016-01-17 01:00:00,39190
2016-01-17 02:00:00,25512
2016-01-17 03:00:00,15937
2016-01-17 04:00:00,12790
2016-01-17 05:00:00,12834
2016-01-17 06:00:00,16716
2016-01-17 07:00:00,29208
2016-01-17 08:00:00,90196
2016-01-17 09:00:00,148084
2016-01-17 10:00:00,188983
2016-01-17 11:00:00,219549
2016-01-17 12:00:00,219897
2016-01-17 13:00:00,228369
2016-01-17 14:00:00,246842
2016-01-17 15:00:00,251741
2016-01-17 16:00:00,253589
2016-01-17 17:00:00,261877
2016-01-17 18:00:00,242235
2016-01-17 19:00:00,174124
2016-01-17 20:00:00,159374
2016-01-17 21:00:00,152972
2016-01-17 22:00:00,119954
2016-01-17 23:00:00,77355
2016-01-18 00:00:00,47585
2016-01-18 01:00:00,31717
2016-01-18 02:00:00,19776
2016-01-18 03:00:00,12386
2016-01-18 04:00:00,9594
2016-01-18 05:00:00,11609
2016-01-18 06:00:00,19303
2016-01-18 07:00:00,99851
2016-01-18 08:00:00,317773
2016-01-18 09:00:00,332971
2016-01-18 10:00:00,284372
2016-01-18 11:00:00,246774
2016-01-18 12:00:00,224662
2016-01-18 13:00:00,217388
2016-01-18 14:00:00,236605
2016-01-18 15:00:00,246885
2016-01-18 16:00:00,265692
2016-01-18 17:00:00,281992
2016-01-18 18:00:00,286324
2016-01-18 19:00:00,232463
2016-01-18 20:00:00,176141
2016-01-18 21:00:00,155351
2016-01-18 22:00:00,126432
2016-01-18 23:00:00,81583
2016-01-19 00:00:00,49052
2016-01-19 01:00:00,33110
2016-01-19 02:00:00,21642
2016-01-19 03:00:00,12953
2016-01-19 04:00:00,10789
2016-01-19 05:00:00,11979
2016-01-19 06:00:00,18225
2016-01-19 07:00:00,89044
2016-01-19 08:00:00,308035
2016-01-19 09:00:00,320742
2016-01-19 10:00:00,274328
2016-01-19 11:00:00,247971
2016-01-19 12:00:00,226310
2016-01-19 13:00:00,219041
2016-01-19 14:00:00,247029
2016-01-19 15:00:00,254027
2016-01-19 16:00:00,268659
2016-01-19 17:00:00,272163
2016-01-19 18:00:00,279792
2016-01-19 19:00:00,246553
2016-01-19 20:00:00,194636
2016-01-19 21:00:00,174149
2016-01-19 22:00:00,144921
2016-01-19 23:00:00,96505
2016-01-20 00:00:00,57649
2016-01-20 01:00:00,36403
2016-01-20 02:00:00,22582
2016-01-20 03:00:00,13306
2016-01-20 04:00:00,10774
2016-01-20 05:00:00,12549
2016-01-20 06:00:00,19790
2016-01-20 07:00:00,92651
2016-01-20 08:00:00,317799
2016-01-20 09:00:00,338191
2016-01-20 10:00:00,297720
2016-01-20 11:00:00,274633
2016-01-20 12:00:00,261076
2016-01-20 13:00:00,260269
2016-01-20 14:00:00,274922
2016-01-20 15:00:00,287284
2016-01-20 16:00:00,297054
2016-01-20 17:00:00,296591
2016-01-20 18:00:00,268680
2016-01-20 19:00:00,209178
2016-01-20 20:00:00,173236
2016-01-20 21:00:00,150240
2016-01-20 22:00:00,118157
2016-01-20 23:00:00,82014
2016-01-21 00:00:00,48533
2016-01-21 01:00:00,29606
2016-01-21 02:00:00,17938
2016-01-21 03:00:00,9460
2016-01-21 04:00:00,8290
2016-01-21 05:00:00,8849
2016-01-21 06:00:00,12923
2016-01-21 07:00:00,44487
2016-01-21 08:00:00,226949
2016-01-21 09:00:00,194186
2016-01-21 10:00:00,199699
2016-01-21 11:00:00,195267
2016-01-21 12:00:00,55792
2016-01-21 13:00:00,80564
2016-01-21 14:00:00,193626
2016-01-21 15:00:00,185417
2016-01-21 16:00:00,140056
2016-01-21 17:00:00,174220
2016-01-21 18:00:00,226218
2016-01-21 19:00:00,161972
2016-01-21 20:00:00,118719
2016-01-21 21:00:00,103742
2016-01-21 22:00:00,87227
2016-01-21 23:00:00,59907
2016-01-22 00:00:00,38855
2016-01-22 01:00:00,25250
2016-01-22 02:00:00,17124
2016-01-22 03:00:00,10624
2016-01-22 04:00:00,8895
2016-01-22 05:00:00,9368
2016-01-22 06:00:00,13569
2016-01-22 07:00:00,45984
2016-01-22 08:00:00,173782
2016-01-22 09:00:00,101415
2016-01-22 10:00:00,157890
2016-01-22 11:00:00,147987
2016-01-22 12:00:00,128585
2016-01-22 13:00:00,157412
2016-01-22 14:00:00,195513
2016-01-22 15:00:00,207802
2016-01-22 16:00:00,224043
2016-01-22 17:00:00,240553
2016-01-22 18:00:00,210258
2016-01-22 19:00:00,151062
2016-01-22 20:00:00,115904
2016-01-22 21:00:00,100972
2016-01-22 22:00:00,76947
2016-01-22 23:00:00,54362
2016-01-23 00:00:00,29518
2016-01-23 01:00:00,19323
2016-01-23 02:00:00,17651
2016-01-23 03:00:00,11956
2016-01-23 04:00:00,10097
2016-01-23 05:00:00,10011
2016-01-23 06:00:00,13145
2016-01-23 07:00:00,25403
2016-01-23 08:00:00,81246
2016-01-23 09:00:00,75896
2016-01-23 10:00:00,96600
2016-01-23 11:00:00,166067
2016-01-23 12:00:00,185720
2016-01-23 13:00:00,200344
2016-01-23 14:00:00,231978
2016-01-23 15:00:00,235742
2016-01-23 16:00:00,236350
2016-01-23 17:00:00,243499
2016-01-23 18:00:00,233215
2016-01-23 19:00:00,158868
2016-01-23 20:00:00,130443
2016-01-23 21:00:00,126009
2016-01-23 22:00:00,106415
2016-01-23 23:00:00,76258
2016-01-24 00:00:00,48355
2016-01-24 01:00:00,34347
2016-01-24 02:00:00,23160
2016-01-24 03:00:00,14063
2016-01-24 04:00:00,10847
2016-01-24 05:00:00,10519
2016-01-24 06:00:00,13183
2016-01-24 07:00:00,23833
2016-01-24 08:00:00,64734
2016-01-24 09:00:00,114318
2016-01-24 10:00:00,152745
2016-01-24 11:00:00,183548
2016-01-24 12:00:00,183255
2016-01-24 13:00:00,187798
2016-01-24 14:00:00,214675
2016-01-24 15:00:00,222668
2016-01-24 16:00:00,217239
2016-01-24 17:00:00,222804
2016-01-24 18:00:00,219388
2016-01-24 19:00:00,152504
2016-01-24 20:00:00,132223
2016-01-24 21:00:00,129315
2016-01-24 22:00:00,102525
2016-01-24 23:00:00,67859
2016-01-25 00:00:00,41355
2016-01-25 01:00:00,27095
2016-01-25 02:00:00,16948
2016-01-25 03:00:00,10226
2016-01-25 04:00:00,8426
2016-01-25 05:00:00,9295
2016-01-25 06:00:00,14120
2016-01-25 07:00:00,62361
2016-01-25 08:00:00,231848
2016-01-25 09:00:00,273428
2016-01-25 10:00:00,253281
2016-01-25 11:00:00,232376
2016-01-25 12:00:00,214206
2016-01-25 13:00:00,210890
2016-01-25 14:00:00,234869
2016-01-25 15:00:00,243048
2016-01-25 16:00:00,250298
2016-01-25 17:00:00,270577
2016-01-25 18:00:00,306119
2016-01-25 19:00:00,249852
2016-01-25 20:00:00,191956
2016-01-25 21:00:00,161763
2016-01-25 22:00:00,134839
2016-01-25 23:00:00,91514
2016-01-26 00:00:00,54008
2016-01-26 01:00:00,33693
2016-01-26 02:00:00,20888
2016-01-26 03:00:00,13098
2016-01-26 04:00:00,10461
2016-01-26 05:00:00,11975
2016-01-26 06:00:00,18044
2016-01-26 07:00:00,79658
2016-01-26 08:00:00,277428
2016-01-26 09:00:00,306600
2016-01-26 10:00:00,282717
2016-01-26 11:00:00,256712
2016-01-26 12:00:00,232336
2016-01-26 13:00:00,233560
2016-01-26 14:00:00,257463
2016-01-26 15:00:00,265809
2016-01-26 16:00:00,288383
2016-01-26 17:00:00,306762
2016-01-26 18:00:00,312539
2016-01-26 19:00:00,249090
2016-01-26 20:00:00,198377
2016-01-26 21:00:00,177877
2016-01-26 22:00:00,152542
2016-01-26 23:00:00,104387
2016-01-27 00:00:00,60130
2016-01-27 01:00:00,37873
2016-01-27 02:00:00,23629
2016-01-27 03:00:00,14463
2016-01-27 04:00:00,11351
2016-01-27 05:00:00,12731
2016-01-27 06:00:00,20513
2016-01-27 07:00:00,83921
2016-01-27 08:00:00,292685
2016-01-27 09:00:00,332354
2016-01-27 10:00:00,300922
2016-01-27 11:00:00,273955
2016-01-27 12:00:00,264876
2016-01-27 13:00:00,257181
2016-01-27 14:00:00,272705
2016-01-27 15:00:00,276227
2016-01-27 16:00:00,282387
2016-01-27 17:00:00,149908
